"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4189","1. Go to product description page","chromium","Mon Apr 28 06:57:57 GMT 2025","passed","Mon Apr 28 06:58:01 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","2763","6. Adding a comment to a product","chromium","Mon Apr 28 06:58:20 GMT 2025","passed","Mon Apr 28 06:58:23 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","3599","2. Change currency in the product card","chromium","Mon Apr 28 06:58:01 GMT 2025","passed","Mon Apr 28 06:58:04 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","6712","3. Password recovery","chromium","Mon Apr 28 06:57:50 GMT 2025","passed","Mon Apr 28 06:57:57 GMT 2025","I. Account Bugs","academybugs.spec.js","",""
"","6574","8. Filtering products by price","chromium","Mon Apr 28 06:58:31 GMT 2025","passed","Mon Apr 28 06:58:37 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","5446","5. Go to Hot Item page","chromium","Mon Apr 28 06:58:14 GMT 2025","passed","Mon Apr 28 06:58:20 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","9456","1. Click on the payment information address","chromium","Mon Apr 28 06:57:26 GMT 2025","passed","Mon Apr 28 06:57:36 GMT 2025","I. Account Bugs","academybugs.spec.js","",""
"","5697","3. Go to the manufacturer page","chromium","Mon Apr 28 06:58:04 GMT 2025","passed","Mon Apr 28 06:58:10 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","8134","7. Changing the quantity of goods in the card","chromium","Mon Apr 28 06:58:23 GMT 2025","passed","Mon Apr 28 06:58:31 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","4575","10. Click on the Sing In button","chromium","Mon Apr 28 06:58:45 GMT 2025","passed","Mon Apr 28 06:58:49 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","4434","4. Go to Twitter page","chromium","Mon Apr 28 06:58:10 GMT 2025","passed","Mon Apr 28 06:58:14 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","7332","9. Click on the total cost of goods","chromium","Mon Apr 28 06:58:37 GMT 2025","passed","Mon Apr 28 06:58:45 GMT 2025","II. Goods bugs","academybugs.spec.js","",""
"","13777","2. Adding payment information","chromium","Mon Apr 28 06:57:36 GMT 2025","passed","Mon Apr 28 06:57:50 GMT 2025","I. Account Bugs","academybugs.spec.js","",""
