"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10681","8. Filtering products by price","chromium","Sun Apr 27 18:45:39 MSK 2025","passed","Sun Apr 27 18:45:50 MSK 2025","II. Goods bugs","academybugs.spec.js","",""
"","16640","5. Go to Hot Item page","chromium","Sun Apr 27 18:44:52 MSK 2025","passed","Sun Apr 27 18:45:09 MSK 2025","II. Goods bugs","academybugs.spec.js","",""
"","9640","4. Go to Twitter page","chromium","Sun Apr 27 18:44:42 MSK 2025","passed","Sun Apr 27 18:44:52 MSK 2025","II. Goods bugs","academybugs.spec.js","",""
"","11115","1. Go to product description page","chromium","Sun Apr 27 18:44:03 MSK 2025","passed","Sun Apr 27 18:44:14 MSK 2025","II. Goods bugs","academybugs.spec.js","",""
"","14546","10. Click on the Sing In button","chromium","Sun Apr 27 18:46:06 MSK 2025","passed","Sun Apr 27 18:46:20 MSK 2025","II. Goods bugs","academybugs.spec.js","",""
"","13631","6. Adding a comment to a product","chromium","Sun Apr 27 18:45:09 MSK 2025","passed","Sun Apr 27 18:45:22 MSK 2025","II. Goods bugs","academybugs.spec.js","",""
"","18009","3. Password recovery","chromium","Sun Apr 27 18:43:45 MSK 2025","passed","Sun Apr 27 18:44:03 MSK 2025","I. Account Bugs","academybugs.spec.js","",""
"","24825","2. Adding payment information","chromium","Sun Apr 27 18:43:20 MSK 2025","passed","Sun Apr 27 18:43:45 MSK 2025","I. Account Bugs","academybugs.spec.js","",""
"","16594","7. Changing the quantity of goods in the card","chromium","Sun Apr 27 18:45:22 MSK 2025","passed","Sun Apr 27 18:45:39 MSK 2025","II. Goods bugs","academybugs.spec.js","",""
"","12647","2. Change currency in the product card","chromium","Sun Apr 27 18:44:14 MSK 2025","passed","Sun Apr 27 18:44:27 MSK 2025","II. Goods bugs","academybugs.spec.js","",""
"","15826","9. Click on the total cost of goods","chromium","Sun Apr 27 18:45:50 MSK 2025","passed","Sun Apr 27 18:46:06 MSK 2025","II. Goods bugs","academybugs.spec.js","",""
"","23762","1. Click on the payment information address","chromium","Sun Apr 27 18:42:56 MSK 2025","passed","Sun Apr 27 18:43:20 MSK 2025","I. Account Bugs","academybugs.spec.js","",""
"","15727","3. Go to the manufacturer page","chromium","Sun Apr 27 18:44:27 MSK 2025","passed","Sun Apr 27 18:44:42 MSK 2025","II. Goods bugs","academybugs.spec.js","",""
